temperature,humidity,pressure,wind_speed,wind_direction,rainfall,location,date,latitude,longitude
35.4,81.2,1006.3,16.7,SE,5.6,Chennai,2010-04-22,13.0827,80.2707
36.4,74.9,1014.1,11.8,ESE,10.3,Chennai,2010-04-25,13.0827,80.2707
30.8,69.0,1013.3,9.7,SE,12.2,Chennai,2010-04-28,13.0827,80.2707
37.4,64.0,1008.0,15.5,S,0.7,Chennai,2010-05-01,13.0827,80.2707
33.3,67.6,1012.2,12.1,SE,10.0,Chennai,2010-05-04,13.0827,80.2707
29.9,65.1,1012.5,14.5,ESE,5.5,Chennai,2010-05-07,13.0827,80.2707
34.3,73.3,1009.4,11.1,SE,9.9,Chennai,2010-05-10,13.0827,80.2707
33.4,62.7,1013.6,18.2,E,4.1,Chennai,2010-05-13,13.0827,80.2707
33.2,74.8,1007.3,13.8,E,6.7,Chennai,2010-05-16,13.0827,80.2707
29.9,57.7,1008.3,14.5,E,9.0,Chennai,2010-05-19,13.0827,80.2707
32.3,63.3,1005.3,13.0,SE,4.0,Chennai,2010-05-22,13.0827,80.2707
34.3,79.9,1005.3,17.1,S,5.7,Chennai,2010-05-25,13.0827,80.2707
33.5,68.4,1009.3,18.9,ESE,5.2,Chennai,2010-05-28,13.0827,80.2707
32.0,75.3,1013.9,13.4,E,7.6,Chennai,2010-05-31,13.0827,80.2707
27.7,94.6,1007.8,22.8,SW,40.5,Chennai,2010-06-01,13.0827,80.2707
27.6,91.0,1009.7,31.3,SSW,8.1,Chennai,2010-06-04,13.0827,80.2707
30.4,93.4,1005.7,26.6,SW,48.0,Chennai,2010-06-07,13.0827,80.2707
30.4,83.4,1003.5,36.2,SW,25.5,Chennai,2010-06-10,13.0827,80.2707
27.4,93.1,1011.6,17.1,SW,20.1,Chennai,2010-06-13,13.0827,80.2707
26.8,81.9,1010.2,26.4,SSW,17.6,Chennai,2010-06-16,13.0827,80.2707
29.3,88.2,1006.5,33.0,W,21.3,Chennai,2010-06-19,13.0827,80.2707
25.8,94.3,1004.0,30.5,S,40.7,Chennai,2010-06-22,13.0827,80.2707
27.4,93.0,1003.3,27.6,SW,39.7,Chennai,2010-06-25,13.0827,80.2707
29.6,92.2,1003.9,23.8,S,19.0,Chennai,2010-06-28,13.0827,80.2707
29.4,95.1,1008.2,27.1,S,27.2,Chennai,2010-07-01,13.0827,80.2707
28.6,93.7,1005.1,27.4,WSW,16.8,Chennai,2010-07-04,13.0827,80.2707
29.9,91.1,1014.9,22.2,WSW,9.6,Chennai,2010-07-07,13.0827,80.2707
29.3,80.5,1010.4,22.9,WSW,26.8,Chennai,2010-07-10,13.0827,80.2707
28.1,92.1,1003.7,19.3,SW,32.9,Chennai,2010-07-13,13.0827,80.2707
28.9,91.8,1012.4,25.9,WSW,9.6,Chennai,2010-07-16,13.0827,80.2707
28.0,88.8,1008.8,22.4,W,16.4,Chennai,2010-07-19,13.0827,80.2707
27.5,82.7,1009.9,25.5,S,11.1,Chennai,2010-07-22,13.0827,80.2707
28.0,78.9,1013.7,30.7,W,15.0,Chennai,2010-07-25,13.0827,80.2707
27.3,86.7,1007.5,23.2,WSW,32.0,Chennai,2010-07-28,13.0827,80.2707
28.2,88.7,1006.1,22.2,W,41.6,Chennai,2010-07-31,13.0827,80.2707
27.8,95.0,1008.3,31.3,S,35.1,Chennai,2010-08-01,13.0827,80.2707
28.7,85.7,1009.1,21.6,SW,24.6,Chennai,2010-08-04,13.0827,80.2707
26.9,86.7,1011.0,37.5,SW,11.0,Chennai,2010-08-07,13.0827,80.2707
29.0,92.4,1007.9,23.6,W,30.3,Chennai,2010-08-10,13.0827,80.2707
29.2,83.3,1005.2,26.2,S,49.1,Chennai,2010-08-13,13.0827,80.2707
26.1,94.9,1010.6,20.9,S,8.2,Chennai,2010-08-16,13.0827,80.2707
30.0,97.8,1008.0,25.4,WSW,42.3,Chennai,2010-08-19,13.0827,80.2707
27.2,87.3,1011.8,24.9,SSW,13.7,Chennai,2010-08-22,13.0827,80.2707
24.7,90.0,1008.7,29.7,SW,11.4,Chennai,2010-08-25,13.0827,80.2707
29.2,77.6,1013.2,24.2,WSW,16.4,Chennai,2010-08-28,13.0827,80.2707
26.8,86.3,1014.0,20.3,SSW,15.4,Chennai,2010-08-31,13.0827,80.2707
28.2,87.7,1009.3,22.2,SW,17.8,Chennai,2010-09-01,13.0827,80.2707
29.6,86.9,1005.7,24.4,SW,17.0,Chennai,2010-09-04,13.0827,80.2707
31.5,92.3,1007.6,27.7,SSW,35.0,Chennai,2010-09-07,13.0827,80.2707
28.9,95.0,1003.4,26.8,S,22.9,Chennai,2010-09-10,13.0827,80.2707
28.3,89.1,1010.5,24.1,SW,13.0,Chennai,2010-09-13,13.0827,80.2707
27.4,79.7,1014.6,31.3,WSW,14.3,Chennai,2010-09-16,13.0827,80.2707
30.7,83.4,1009.7,21.7,SW,39.3,Chennai,2010-09-19,13.0827,80.2707
30.9,99.7,1006.5,32.9,SSW,23.0,Chennai,2010-09-22,13.0827,80.2707
28.0,93.4,1010.2,30.3,WSW,19.1,Chennai,2010-09-25,13.0827,80.2707
31.2,99.0,1006.4,34.2,S,26.9,Chennai,2010-09-28,13.0827,80.2707
25.8,100.0,1009.5,27.8,NNE,56.6,Chennai,2010-10-01,13.0827,80.2707
26.2,98.4,1006.6,17.4,ENE,71.6,Chennai,2010-10-04,13.0827,80.2707
27.5,92.9,1010.6,19.1,NE,24.0,Chennai,2010-10-07,13.0827,80.2707
26.8,94.2,1012.2,22.8,NNE,28.1,Chennai,2010-10-10,13.0827,80.2707
27.7,100.0,1011.8,23.9,NNE,28.1,Chennai,2010-10-13,13.0827,80.2707
23.5,86.8,1004.8,22.2,N,58.7,Chennai,2010-10-16,13.0827,80.2707
25.2,89.7,1003.6,21.3,ENE,82.9,Chennai,2010-10-19,13.0827,80.2707
27.6,94.3,1012.0,22.4,NNE,62.3,Chennai,2010-10-22,13.0827,80.2707
29.4,97.7,1007.7,26.9,NE,40.7,Chennai,2010-10-25,13.0827,80.2707
24.9,88.5,1002.1,24.7,NNE,76.5,Chennai,2010-10-28,13.0827,80.2707
27.0,94.1,1006.3,27.5,N,17.4,Chennai,2010-10-31,13.0827,80.2707
28.0,86.6,1004.0,23.6,E,34.3,Chennai,2010-11-01,13.0827,80.2707
26.9,88.8,1003.3,25.5,NNE,47.0,Chennai,2010-11-04,13.0827,80.2707
24.4,96.1,1009.7,18.0,NE,65.3,Chennai,2010-11-07,13.0827,80.2707
28.3,93.4,1004.3,23.4,N,77.8,Chennai,2010-11-10,13.0827,80.2707
27.0,96.4,1007.4,13.5,NE,30.7,Chennai,2010-11-13,13.0827,80.2707
26.1,95.2,1008.5,28.9,NNE,21.1,Chennai,2010-11-16,13.0827,80.2707
25.9,87.1,1014.1,18.6,N,18.6,Chennai,2010-11-19,13.0827,80.2707
25.6,100.0,1007.3,15.6,ENE,76.0,Chennai,2010-11-22,13.0827,80.2707
26.8,93.1,1012.8,26.9,NNE,20.1,Chennai,2010-11-25,13.0827,80.2707
24.7,89.5,1007.8,12.9,N,55.9,Chennai,2010-11-28,13.0827,80.2707
27.3,89.9,1009.5,24.2,E,68.1,Chennai,2010-12-01,13.0827,80.2707
25.7,93.2,1006.1,18.6,NNE,33.0,Chennai,2010-12-04,13.0827,80.2707
25.3,98.1,1010.7,18.6,NNE,35.6,Chennai,2010-12-07,13.0827,80.2707
28.4,93.9,1013.5,27.8,NNE,20.3,Chennai,2010-12-10,13.0827,80.2707
30.0,92.5,1008.6,19.6,ENE,21.0,Chennai,2010-12-13,13.0827,80.2707
25.9,90.8,1006.0,17.8,E,46.3,Chennai,2010-12-16,13.0827,80.2707
25.8,90.6,1003.6,26.0,ENE,71.5,Chennai,2010-12-19,13.0827,80.2707
29.3,93.9,1001.6,23.3,ENE,65.9,Chennai,2010-12-22,13.0827,80.2707
24.6,93.6,1004.0,24.5,ENE,55.8,Chennai,2010-12-25,13.0827,80.2707
23.1,94.7,1010.8,24.4,NNE,34.3,Chennai,2010-12-28,13.0827,80.2707
23.6,88.9,1010.0,26.1,ENE,29.0,Chennai,2010-12-31,13.0827,80.2707
22.3,80.7,1012.4,14.4,E,2.9,Chennai,2011-01-01,13.0827,80.2707
24.3,73.7,1009.0,6.0,N,3.3,Chennai,2011-01-04,13.0827,80.2707
23.0,80.5,1009.3,13.5,N,0.8,Chennai,2011-01-07,13.0827,80.2707
26.1,81.5,1014.0,12.9,E,4.8,Chennai,2011-01-10,13.0827,80.2707
24.0,78.4,1009.6,15.9,E,5.0,Chennai,2011-01-13,13.0827,80.2707
22.2,67.0,1006.4,4.9,E,2.5,Chennai,2011-01-16,13.0827,80.2707
24.3,72.8,1012.5,8.3,N,4.6,Chennai,2011-01-19,13.0827,80.2707
25.2,67.7,1007.9,12.0,N,6.9,Chennai,2011-01-22,13.0827,80.2707
26.0,76.1,1010.0,10.4,NE,0.9,Chennai,2011-01-25,13.0827,80.2707
24.0,74.0,1013.2,12.8,NE,5.8,Chennai,2011-01-28,13.0827,80.2707
22.6,65.7,1006.8,9.7,E,4.2,Chennai,2011-01-31,13.0827,80.2707
22.4,83.9,1008.1,8.2,E,0.0,Chennai,2011-02-01,13.0827,80.2707
25.4,76.0,1013.7,7.8,N,1.8,Chennai,2011-02-04,13.0827,80.2707
27.9,79.8,1005.5,12.1,N,8.7,Chennai,2011-02-07,13.0827,80.2707
24.7,71.7,1005.7,8.9,N,4.8,Chennai,2011-02-10,13.0827,80.2707
24.3,72.1,1011.3,14.5,E,3.6,Chennai,2011-02-13,13.0827,80.2707
24.5,74.4,1014.0,11.2,N,2.9,Chennai,2011-02-16,13.0827,80.2707
23.1,71.4,1010.7,3.0,NE,3.5,Chennai,2011-02-19,13.0827,80.2707
26.2,68.4,1008.0,6.1,N,7.1,Chennai,2011-02-22,13.0827,80.2707
24.5,79.0,1006.2,14.5,E,6.6,Chennai,2011-02-25,13.0827,80.2707
25.0,73.1,1008.2,13.1,N,6.6,Chennai,2011-02-28,13.0827,80.2707
35.2,72.0,1010.1,14.5,E,5.9,Chennai,2011-03-01,13.0827,80.2707
35.4,75.4,1013.7,14.2,S,2.8,Chennai,2011-03-04,13.0827,80.2707
36.8,62.4,1007.3,12.8,SE,8.8,Chennai,2011-03-07,13.0827,80.2707
34.8,68.5,1005.5,15.9,ESE,12.1,Chennai,2011-03-10,13.0827,80.2707
34.5,62.1,1008.7,15.6,ESE,0.0,Chennai,2011-03-13,13.0827,80.2707
32.3,60.9,1010.9,7.9,ESE,9.8,Chennai,2011-03-16,13.0827,80.2707
35.3,63.2,1008.7,17.4,E,7.4,Chennai,2011-03-19,13.0827,80.2707
29.9,70.0,1011.1,11.0,E,1.0,Chennai,2011-03-22,13.0827,80.2707
33.2,65.9,1013.0,9.7,S,1.1,Chennai,2011-03-25,13.0827,80.2707
30.1,59.8,1011.9,12.6,SE,11.0,Chennai,2011-03-28,13.0827,80.2707
36.9,64.0,1014.2,11.9,E,4.9,Chennai,2011-03-31,13.0827,80.2707
30.0,54.0,1007.5,11.7,SE,2.1,Chennai,2011-04-01,13.0827,80.2707
32.9,60.1,1008.9,10.6,ESE,5.8,Chennai,2011-04-04,13.0827,80.2707
32.5,62.4,1013.2,14.2,S,5.7,Chennai,2011-04-07,13.0827,80.2707
35.3,71.2,1007.4,17.0,E,6.9,Chennai,2011-04-10,13.0827,80.2707
29.0,76.8,1010.7,10.3,ESE,5.6,Chennai,2011-04-13,13.0827,80.2707
32.7,79.1,1010.4,11.8,ESE,5.1,Chennai,2011-04-16,13.0827,80.2707
35.8,69.6,1008.0,19.1,ESE,3.2,Chennai,2011-04-19,13.0827,80.2707
32.9,75.5,1011.0,18.4,SE,8.4,Chennai,2011-04-22,13.0827,80.2707
38.1,61.8,1009.3,12.5,S,9.7,Chennai,2011-04-25,13.0827,80.2707
33.9,72.8,1013.8,18.2,S,2.7,Chennai,2011-04-28,13.0827,80.2707
35.9,60.4,1014.2,21.2,ESE,3.9,Chennai,2011-05-01,13.0827,80.2707
30.7,64.1,1011.0,14.6,S,6.3,Chennai,2011-05-04,13.0827,80.2707
30.5,75.3,1010.0,16.6,ESE,3.3,Chennai,2011-05-07,13.0827,80.2707
35.0,57.9,1010.2,20.4,ESE,1.5,Chennai,2011-05-10,13.0827,80.2707
34.2,69.0,1009.0,21.1,ESE,2.9,Chennai,2011-05-13,13.0827,80.2707
33.7,64.9,1006.4,11.7,E,0.0,Chennai,2011-05-16,13.0827,80.2707
36.9,69.1,1008.3,17.4,E,8.4,Chennai,2011-05-19,13.0827,80.2707
36.1,62.0,1009.8,19.9,SE,0.7,Chennai,2011-05-22,13.0827,80.2707
32.6,64.6,1008.8,15.8,SE,3.8,Chennai,2011-05-25,13.0827,80.2707
30.8,72.3,1014.5,20.6,E,9.7,Chennai,2011-05-28,13.0827,80.2707
36.2,66.7,1012.7,14.8,SE,7.2,Chennai,2011-05-31,13.0827,80.2707
28.6,82.0,1010.9,27.9,W,36.4,Chennai,2011-06-01,13.0827,80.2707
26.8,83.0,1009.6,33.8,WSW,23.4,Chennai,2011-06-04,13.0827,80.2707
27.5,88.3,1006.1,30.7,W,21.4,Chennai,2011-06-07,13.0827,80.2707
28.4,89.2,1012.6,30.1,WSW,37.4,Chennai,2011-06-10,13.0827,80.2707
27.6,84.9,1014.1,23.2,SSW,11.2,Chennai,2011-06-13,13.0827,80.2707
25.5,84.8,1012.3,23.4,SW,44.0,Chennai,2011-06-16,13.0827,80.2707
28.4,91.8,1005.2,21.9,WSW,15.2,Chennai,2011-06-19,13.0827,80.2707
29.8,91.4,1006.9,32.4,S,32.5,Chennai,2011-06-22,13.0827,80.2707
31.1,90.0,1007.0,21.9,W,37.4,Chennai,2011-06-25,13.0827,80.2707
28.3,94.7,1010.1,25.7,WSW,11.4,Chennai,2011-06-28,13.0827,80.2707
29.5,87.9,1006.2,34.2,WSW,15.6,Chennai,2011-07-01,13.0827,80.2707
28.4,80.5,1006.1,32.2,WSW,27.3,Chennai,2011-07-04,13.0827,80.2707
25.1,95.3,1005.4,31.0,SSW,40.6,Chennai,2011-07-07,13.0827,80.2707
29.7,94.7,1005.4,32.7,SSW,36.6,Chennai,2011-07-10,13.0827,80.2707
30.8,90.5,1005.6,20.8,W,17.1,Chennai,2011-07-13,13.0827,80.2707
28.4,98.7,1005.8,29.1,SSW,32.9,Chennai,2011-07-16,13.0827,80.2707
27.5,92.2,1014.3,29.2,SW,19.5,Chennai,2011-07-19,13.0827,80.2707
26.3,89.2,1005.5,31.6,W,14.0,Chennai,2011-07-22,13.0827,80.2707
28.1,95.1,1008.0,31.8,SW,12.6,Chennai,2011-07-25,13.0827,80.2707
28.6,92.2,1002.1,29.6,W,43.2,Chennai,2011-07-28,13.0827,80.2707
26.3,93.9,1007.6,31.7,SW,16.5,Chennai,2011-07-31,13.0827,80.2707
28.9,86.5,1004.9,33.3,W,27.5,Chennai,2011-08-01,13.0827,80.2707
28.5,91.7,1014.3,31.1,SW,15.3,Chennai,2011-08-04,13.0827,80.2707
30.1,88.3,1004.8,30.5,SSW,27.8,Chennai,2011-08-07,13.0827,80.2707
28.4,81.7,1009.0,28.2,SW,7.3,Chennai,2011-08-10,13.0827,80.2707
26.7,90.9,1007.2,22.3,WSW,42.1,Chennai,2011-08-13,13.0827,80.2707
27.0,88.5,1005.7,36.2,S,10.7,Chennai,2011-08-16,13.0827,80.2707
27.7,84.7,1010.5,26.1,WSW,13.6,Chennai,2011-08-19,13.0827,80.2707
26.9,95.8,1008.4,27.9,W,41.3,Chennai,2011-08-22,13.0827,80.2707
29.5,83.5,1003.2,30.1,W,21.8,Chennai,2011-08-25,13.0827,80.2707
26.2,89.5,1014.8,34.3,SW,17.0,Chennai,2011-08-28,13.0827,80.2707
26.0,99.0,1002.0,25.2,S,36.8,Chennai,2011-08-31,13.0827,80.2707
28.0,91.1,1005.1,26.2,SW,43.4,Chennai,2011-09-01,13.0827,80.2707
28.4,88.7,1014.4,27.1,W,17.1,Chennai,2011-09-04,13.0827,80.2707
26.9,93.7,1004.6,31.9,SW,30.4,Chennai,2011-09-07,13.0827,80.2707
27.6,82.0,1009.2,20.8,WSW,29.8,Chennai,2011-09-10,13.0827,80.2707
29.3,94.6,1011.5,34.8,SSW,10.9,Chennai,2011-09-13,13.0827,80.2707
30.2,87.1,1011.2,29.7,S,13.2,Chennai,2011-09-16,13.0827,80.2707
25.9,92.4,1009.0,23.5,W,22.8,Chennai,2011-09-19,13.0827,80.2707
25.3,90.4,1011.1,24.6,SSW,13.0,Chennai,2011-09-22,13.0827,80.2707
26.3,91.7,1011.4,26.1,SW,15.7,Chennai,2011-09-25,13.0827,80.2707
27.9,98.2,1006.9,25.7,S,35.6,Chennai,2011-09-28,13.0827,80.2707
27.9,92.0,1005.0,17.6,ENE,29.5,Chennai,2011-10-01,13.0827,80.2707
30.1,91.8,1008.8,15.6,E,28.1,Chennai,2011-10-04,13.0827,80.2707
28.2,100.0,1009.8,27.0,ENE,16.3,Chennai,2011-10-07,13.0827,80.2707
29.3,89.4,1003.6,27.0,ENE,29.8,Chennai,2011-10-10,13.0827,80.2707
29.1,95.4,1008.8,26.9,NNE,22.4,Chennai,2011-10-13,13.0827,80.2707
24.0,89.8,1002.9,27.5,NNE,24.0,Chennai,2011-10-16,13.0827,80.2707
24.1,100.0,1009.1,27.4,N,39.3,Chennai,2011-10-19,13.0827,80.2707
29.6,100.0,1006.8,20.9,NE,69.5,Chennai,2011-10-22,13.0827,80.2707
25.3,90.7,1008.4,16.6,N,47.8,Chennai,2011-10-25,13.0827,80.2707
27.3,100.0,1003.0,25.1,N,44.8,Chennai,2011-10-28,13.0827,80.2707
28.6,100.0,1004.2,29.8,E,76.3,Chennai,2011-10-31,13.0827,80.2707
22.5,89.4,1007.3,23.4,NNE,20.0,Chennai,2011-11-01,13.0827,80.2707
26.0,89.0,1006.6,21.7,NE,59.2,Chennai,2011-11-04,13.0827,80.2707
27.8,93.5,1006.1,19.9,E,53.6,Chennai,2011-11-07,13.0827,80.2707
26.5,96.5,1009.3,22.4,NE,63.3,Chennai,2011-11-10,13.0827,80.2707
23.2,98.1,1004.2,19.7,N,48.3,Chennai,2011-11-13,13.0827,80.2707
29.3,89.4,1010.1,15.9,E,35.9,Chennai,2011-11-16,13.0827,80.2707
27.8,81.7,1008.7,17.4,NNE,29.0,Chennai,2011-11-19,13.0827,80.2707
29.2,95.4,1010.9,27.4,E,14.4,Chennai,2011-11-22,13.0827,80.2707
27.3,99.3,1005.3,16.7,ENE,19.8,Chennai,2011-11-25,13.0827,80.2707
27.0,87.8,1008.4,19.1,NE,52.9,Chennai,2011-11-28,13.0827,80.2707
26.4,90.4,1009.7,21.7,ENE,72.9,Chennai,2011-12-01,13.0827,80.2707
25.9,94.0,1008.2,20.7,NNE,64.3,Chennai,2011-12-04,13.0827,80.2707
25.9,100.0,1004.0,19.2,NNE,64.4,Chennai,2011-12-07,13.0827,80.2707
26.2,93.4,1011.4,14.6,NE,42.8,Chennai,2011-12-10,13.0827,80.2707
26.9,90.6,1002.9,28.8,NNE,31.4,Chennai,2011-12-13,13.0827,80.2707
22.6,97.5,1002.2,29.0,ENE,62.4,Chennai,2011-12-16,13.0827,80.2707
25.7,91.0,1004.9,21.7,E,41.2,Chennai,2011-12-19,13.0827,80.2707
27.8,99.6,1006.7,20.7,E,33.4,Chennai,2011-12-22,13.0827,80.2707
27.8,90.9,1004.4,23.6,NNE,56.6,Chennai,2011-12-25,13.0827,80.2707
25.2,85.8,1006.5,21.5,N,23.9,Chennai,2011-12-28,13.0827,80.2707
25.5,94.8,1011.3,16.4,ENE,39.4,Chennai,2011-12-31,13.0827,80.2707
22.8,69.1,1013.2,11.2,NE,3.9,Chennai,2012-01-01,13.0827,80.2707
27.7,65.6,1007.6,3.8,NE,2.8,Chennai,2012-01-04,13.0827,80.2707
25.9,82.0,1012.7,13.1,N,8.0,Chennai,2012-01-07,13.0827,80.2707
25.0,67.8,1007.6,8.2,NE,4.7,Chennai,2012-01-10,13.0827,80.2707
22.5,77.0,1010.0,8.5,N,6.0,Chennai,2012-01-13,13.0827,80.2707
21.6,76.7,1007.6,11.9,N,2.2,Chennai,2012-01-16,13.0827,80.2707
24.6,72.0,1007.1,5.4,NE,3.9,Chennai,2012-01-19,13.0827,80.2707
24.9,84.4,1009.6,14.6,E,4.5,Chennai,2012-01-22,13.0827,80.2707
23.3,75.6,1007.8,13.6,E,4.2,Chennai,2012-01-25,13.0827,80.2707
25.7,67.7,1005.4,5.9,N,2.7,Chennai,2012-01-28,13.0827,80.2707
22.5,78.2,1010.4,15.1,NE,2.6,Chennai,2012-01-31,13.0827,80.2707
24.5,74.3,1010.4,5.7,N,0.0,Chennai,2012-02-01,13.0827,80.2707
24.7,86.6,1005.3,11.2,E,4.8,Chennai,2012-02-04,13.0827,80.2707
24.0,80.3,1010.2,10.4,NE,1.3,Chennai,2012-02-07,13.0827,80.2707
21.4,69.1,1012.4,11.2,E,3.2,Chennai,2012-02-10,13.0827,80.2707
25.3,70.9,1012.3,10.7,N,5.1,Chennai,2012-02-13,13.0827,80.2707
24.4,75.4,1006.5,7.1,NE,0.0,Chennai,2012-02-16,13.0827,80.2707
23.9,72.0,1007.0,16.2,E,6.6,Chennai,2012-02-19,13.0827,80.2707
25.2,78.5,1007.7,3.6,E,8.1,Chennai,2012-02-22,13.0827,80.2707
24.6,73.6,1011.7,2.5,N,1.7,Chennai,2012-02-25,13.0827,80.2707
21.7,70.1,1006.5,11.4,N,3.8,Chennai,2012-02-28,13.0827,80.2707
30.6,77.5,1009.7,11.5,E,10.7,Chennai,2012-03-01,13.0827,80.2707
31.6,59.0,1008.0,15.0,S,7.1,Chennai,2012-03-04,13.0827,80.2707
34.1,68.1,1008.0,20.5,E,8.3,Chennai,2012-03-07,13.0827,80.2707
32.4,64.3,1009.5,17.3,ESE,8.2,Chennai,2012-03-10,13.0827,80.2707
36.9,71.4,1012.0,15.4,E,1.1,Chennai,2012-03-13,13.0827,80.2707
33.4,72.6,1008.2,12.9,SE,9.4,Chennai,2012-03-16,13.0827,80.2707
29.8,73.9,1005.0,22.0,S,2.2,Chennai,2012-03-19,13.0827,80.2707
32.7,73.8,1014.5,15.1,S,7.5,Chennai,2012-03-22,13.0827,80.2707
34.6,78.8,1008.8,15.6,S,4.3,Chennai,2012-03-25,13.0827,80.2707
33.5,72.7,1014.4,13.2,ESE,5.3,Chennai,2012-03-28,13.0827,80.2707
36.5,67.6,1009.5,11.6,E,8.5,Chennai,2012-03-31,13.0827,80.2707
33.8,67.6,1005.2,17.0,S,2.1,Chennai,2012-04-01,13.0827,80.2707
31.1,68.7,1008.5,9.9,S,3.8,Chennai,2012-04-04,13.0827,80.2707
33.0,76.5,1012.4,15.2,ESE,2.2,Chennai,2012-04-07,13.0827,80.2707
34.8,68.5,1012.2,16.3,S,1.7,Chennai,2012-04-10,13.0827,80.2707
36.7,65.0,1009.0,12.0,ESE,7.6,Chennai,2012-04-13,13.0827,80.2707
33.7,73.2,1012.1,18.4,S,1.4,Chennai,2012-04-16,13.0827,80.2707
30.9,61.8,1008.8,15.6,ESE,11.5,Chennai,2012-04-19,13.0827,80.2707
33.5,76.6,1010.7,10.8,E,2.7,Chennai,2012-04-22,13.0827,80.2707
37.4,73.0,1009.4,15.1,ESE,10.5,Chennai,2012-04-25,13.0827,80.2707
30.8,65.1,1014.5,11.1,S,3.2,Chennai,2012-04-28,13.0827,80.2707
35.4,68.0,1008.7,9.2,E,6.1,Chennai,2012-05-01,13.0827,80.2707
33.9,56.6,1013.8,14.7,E,6.5,Chennai,2012-05-04,13.0827,80.2707
30.0,81.4,1009.6,15.6,ESE,0.0,Chennai,2012-05-07,13.0827,80.2707
31.6,76.1,1014.5,13.0,ESE,4.6,Chennai,2012-05-10,13.0827,80.2707
32.2,77.9,1005.5,18.0,ESE,13.2,Chennai,2012-05-13,13.0827,80.2707
34.3,59.7,1009.0,12.6,E,1.0,Chennai,2012-05-16,13.0827,80.2707
31.5,70.6,1006.5,14.2,ESE,3.1,Chennai,2012-05-19,13.0827,80.2707
